protein1 protein2 experimental database textmining combined_score
362663.ECP_0015 362663.ECP_4352 54 479 49 490
362663.ECP_0015 362663.ECP_3388 0 0 237 237
362663.ECP_0015 362663.ECP_1976 237 0 0 237
362663.ECP_0015 362663.ECP_4196 225 0 0 224
362663.ECP_0015 362663.ECP_4387 108 0 697 718
362663.ECP_0015 362663.ECP_1078 224 0 0 224
362663.ECP_0015 362663.ECP_2727 282 0 0 282
362663.ECP_0015 362663.ECP_1023 277 488 79 629
362663.ECP_0015 362663.ECP_4291 279 0 97 321
362663.ECP_0015 362663.ECP_1710 292 533 130 687
362663.ECP_0015 362663.ECP_1086 237 0 0 237
362663.ECP_0015 362663.ECP_3907 282 0 0 282
362663.ECP_0015 362663.ECP_0037 218 0 0 218
362663.ECP_0015 362663.ECP_2531 292 533 599 855
362663.ECP_0015 362663.ECP_1748 218 0 0 218
362663.ECP_0015 362663.ECP_3163 164 0 0 163
362663.ECP_0015 362663.ECP_2534 0 0 290 290
362663.ECP_0015 362663.ECP_3385 58 526 0 534
362663.ECP_0015 362663.ECP_4268 0 0 548 548
362663.ECP_0015 362663.ECP_3616 0 204 97 250
362663.ECP_0015 362663.ECP_1114 57 233 0 245
362663.ECP_0015 362663.ECP_0999 279 0 344 506
362663.ECP_0015 362663.ECP_0058 98 0 289 331
362663.ECP_0015 362663.ECP_1418 182 0 0 181
362663.ECP_0015 362663.ECP_2550 277 488 79 629
362663.ECP_0015 362663.ECP_3062 237 0 0 237
362663.ECP_0015 362663.ECP_0155 0 0 260 260
362663.ECP_0015 362663.ECP_1682 153 0 0 152
362663.ECP_0015 362663.ECP_0185 91 397 0 428
362663.ECP_0015 362663.ECP_2165 279 0 97 321
362663.ECP_0015 362663.ECP_3060 218 0 0 218
362663.ECP_0015 362663.ECP_3380 279 0 97 321
362663.ECP_0015 362663.ECP_3386 59 538 0 546
362663.ECP_0015 362663.ECP_1708 58 0 145 160
362663.ECP_0015 362663.ECP_2722 138 0 137 224
362663.ECP_0015 362663.ECP_2583 221 0 0 221
362663.ECP_0015 362663.ECP_0552 279 0 97 321
362663.ECP_0015 362663.ECP_1199 279 0 97 321
362663.ECP_0015 362663.ECP_3554 288 0 406 558
362663.ECP_0015 362663.ECP_2772 224 0 0 224
362663.ECP_0015 362663.ECP_1000 0 0 466 465
362663.ECP_0015 362663.ECP_0897 139 519 469 760
362663.ECP_0015 362663.ECP_2038 54 479 49 490
362663.ECP_0015 362663.ECP_1694 164 0 0 163
362663.ECP_0015 362663.ECP_3749 221 0 0 221
362663.ECP_0020 362663.ECP_3388 0 0 181 181
362663.ECP_0020 362663.ECP_2586 237 0 0 237
362663.ECP_0020 362663.ECP_1229 0 0 365 365
