protein1 protein2 experimental database textmining combined_score
1034809.SLUG_00140 1034809.SLUG_22590 514 0 0 514
1034809.SLUG_00140 1034809.SLUG_16230 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_20460 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_20210 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_22680 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_09610 224 0 0 224
1034809.SLUG_00140 1034809.SLUG_13260 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_09470 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_13600 514 459 0 725
1034809.SLUG_00140 1034809.SLUG_16410 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_01370 292 615 0 715
1034809.SLUG_00140 1034809.SLUG_07950 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_20180 835 0 0 835
1034809.SLUG_00140 1034809.SLUG_13270 306 0 0 306
1034809.SLUG_00140 1034809.SLUG_07720 996 971 0 999
1034809.SLUG_00140 1034809.SLUG_07830 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_18420 305 293 0 487
1034809.SLUG_00140 1034809.SLUG_07890 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_22650 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_17420 996 994 0 999
1034809.SLUG_00140 1034809.SLUG_07870 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_12710 996 984 0 999
1034809.SLUG_00150 1034809.SLUG_13320 0 0 350 349
1034809.SLUG_00150 1034809.SLUG_22640 0 0 349 349
1034809.SLUG_00150 1034809.SLUG_13250 193 0 0 193
1034809.SLUG_00150 1034809.SLUG_22590 186 0 0 186
1034809.SLUG_00150 1034809.SLUG_16890 193 949 0 957
1034809.SLUG_00150 1034809.SLUG_11280 180 0 0 179
1034809.SLUG_00150 1034809.SLUG_00010 244 0 665 735
1034809.SLUG_00150 1034809.SLUG_23330 266 0 631 717
1034809.SLUG_00150 1034809.SLUG_16830 156 0 0 155
1034809.SLUG_00150 1034809.SLUG_22600 183 0 0 183
1034809.SLUG_00150 1034809.SLUG_13490 259 950 665 986
1034809.SLUG_00150 1034809.SLUG_10600 211 0 639 702
1034809.SLUG_00150 1034809.SLUG_15560 183 0 0 183
1034809.SLUG_00150 1034809.SLUG_07750 183 0 0 183
1034809.SLUG_00150 1034809.SLUG_20310 0 0 267 267
1034809.SLUG_00150 1034809.SLUG_13310 0 0 432 432
1034809.SLUG_00150 1034809.SLUG_23880 224 0 0 224
1034809.SLUG_00150 1034809.SLUG_09690 224 0 0 224
1034809.SLUG_00150 1034809.SLUG_09950 183 0 0 183
1034809.SLUG_00150 1034809.SLUG_12420 0 640 665 874
1034809.SLUG_00150 1034809.SLUG_07720 193 0 0 193
1034809.SLUG_00150 1034809.SLUG_08460 487 930 244 970
1034809.SLUG_00150 1034809.SLUG_08430 224 0 0 224
1034809.SLUG_00150 1034809.SLUG_16430 0 0 153 152
1034809.SLUG_00150 1034809.SLUG_12430 487 930 665 986
1034809.SLUG_00150 1034809.SLUG_11250 100 0 96 151
1034809.SLUG_00150 1034809.SLUG_16110 0 0 533 533
1034809.SLUG_00150 1034809.SLUG_10510 0 0 424 424
1034809.SLUG_00160 1034809.SLUG_04550 227 0 0 226
1034809.SLUG_00160 1034809.SLUG_19100 260 0 0 260
1034809.SLUG_00160 1034809.SLUG_10180 156 0 0 155
1034809.SLUG_00160 1034809.SLUG_10290 249 0 0 248
1034809.SLUG_00160 1034809.SLUG_11060 260 0 0 260
1034809.SLUG_00160 1034809.SLUG_22570 228 0 0 227
1034809.SLUG_00160 1034809.SLUG_23690 258 0 386 524
1034809.SLUG_00160 1034809.SLUG_22950 225 0 0 224
1034809.SLUG_00160 1034809.SLUG_11530 222 0 0 222
1034809.SLUG_00160 1034809.SLUG_12330 219 0 0 219
1034809.SLUG_00160 1034809.SLUG_24150 163 0 0 163
1034809.SLUG_00160 1034809.SLUG_20990 224 0 0 224
1034809.SLUG_00160 1034809.SLUG_00750 227 0 0 226
1034809.SLUG_00160 1034809.SLUG_13900 155 0 0 154
1034809.SLUG_00160 1034809.SLUG_14350 155 0 0 154
1034809.SLUG_00160 1034809.SLUG_23120 258 0 545 647
1034809.SLUG_00160 1034809.SLUG_09120 247 0 0 246
1034809.SLUG_00160 1034809.SLUG_11490 224 0 0 224
1034809.SLUG_00160 1034809.SLUG_03150 262 0 0 262
1034809.SLUG_00160 1034809.SLUG_13320 154 0 0 153
1034809.SLUG_00160 1034809.SLUG_10200 231 0 0 230
